			***** INVENTORY *****
--------------------------------------------------------------------------------
	ID	|	NAME	|	Size	|	QUANTITY
--------------------------------------------------------------------------------
	11      	Addidas                  
					Men-4    	2    
					Men-5    	2    
					Men-6    	2    
					Men-7    	2    
					Men-8    	2    
					Men-9    	2    
					Men-10   	2    
					Women-5    	2    
					Women-6    	2    
					Women-7    	2    
					Women-8    	2    
					Women-9    	2    
					Women-10   	2    
					Women-11   	2    
					Women-12   	2    
	1       	Nike                     
					Men-4    	2    
					Men-5    	2    
					Men-6    	2    
					Men-7    	2    
					Men-8    	2    
					Men-9    	2    
					Men-10   	2    
					Women-5    	2    
					Women-6    	2    
					Women-7    	2    
					Women-8    	2    
					Women-9    	2    
					Women-10   	2    
					Women-11   	2    
					Women-12   	2    
